instance,energy,resources,congestion,time,num_nodes
1,404.4375,142.0,0.17177914110429449,8.50895857,3
2,812.6682692307693,248.0,0.17177914110429449,2.237713924,7
3,1268.8870192307693,438.0,0.28448275862068967,0.885768723,5
4,1492.0120192307693,478.0,0.28448275862068967,1.029709228,5
5,1506.3557692307693,529.0,0.28448275862068967,1.503234153,8
6,1763.0865384615386,629.0,0.28448275862068967,7.102680665,31
7,1482.3584401709404,771.0,0.48951048951048953,11.65374678,4
8,1611.290064102564,955.0,0.6783216783216783,10.43621977,1
9,1628.6472069597069,1091.0,0.9090909090909092,13.550109336,1
10,1849.574862637363,1178.0,0.9090909090909092,13.776742116,1
