instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,227.5,56.0,0.25,0.981580922,1,false,true,NaN
2,483.1818181818182,133.0,0.39166666666666666,2.105034173,1,false,true,NaN
3,715.4734848484849,191.0,0.39166666666666666,3.280145858,1,false,true,NaN
4,966.050407925408,311.0,0.5,4.220636871,1,false,true,NaN
5,1033.9075507825507,430.0,0.525,5.223967689,1,false,true,NaN
6,1294.9075507825507,520.0,0.525,6.56891783,1,false,true,NaN
7,1667.271187146187,576.0,0.525,8.019825221,1,false,true,NaN
8,1697.0788794538794,698.0,0.8166666666666667,9.115350151,1,false,true,NaN
9,1716.1788794538795,767.0,0.8166666666666667,10.513927181,1,false,true,NaN
10,1734.5122127872128,839.0,0.8166666666666667,12.028661568,1,false,true,NaN
11,1956.2513432219953,881.0,0.8166666666666667,12.421954954,1,false,true,NaN
12,1981.9180098886618,952.0,0.8166666666666667,14.138825554,1,false,true,NaN
