instance,energy,resrouces,congestion,time,num_nodes
1,249.16666666666666,86.0,0.49166666666666664,6.652056961,1
2,531.6666666666666,262.0,0.625,6.656575593,9
3,571.6666666666666,344.0,0.8833333333333333,7.099976436,11
4,845.8333333333334,446.0,0.8833333333333333,9.79375698,11
5,847.5,560.0,0.8833333333333333,23.881666423,17
6,1259.0,751.0,0.8833333333333333,74.557533396,57
7,1533.0000000000002,865.0,0.9,126.332526024,85
8,1754.8333333333335,930.0,0.9,158.390242281,105
9,1782.3333333333335,1029.0,0.9916666666666667,69.928231792,31
10,1567.0000000000002,1089.0,0.9916666666666667,84.522199521,31
11,1832.0000000000002,1177.0,1.0,200.31953206,69
12,1863.5000000000002,1296.0,1.0,518.966297084,183
13,1897.6666666666667,1362.0,1.0,675.109342554,221
14,1895.0,1435.0,1.0,1060.344355774,357
15,1944.3333333333333,1512.0,1.0,1463.443255808,409
16,1961.3333333333333,1618.0,1.0,2858.97422404,801
